collected_at_utc,weather_time_kst,location,latitude,longitude,temperature_2m,relative_humidity_2m,apparent_temperature,precipitation,rain,showers,snowfall,weather_code,cloud_cover,wind_speed_10m,wind_direction_10m,wind_gusts_10m
2026-08-27T01:28:44+00:00,2026-08-27T10:15,진주시,35.2,128.125,29.5,78,36.3,0.0,0.0,0.0,0.0,1,38,1.1,162,23.0
2026-08-27T01:28:45+00:00,2026-08-27T10:15,대구광역시,35.85,128.625,27.6,86,34.1,0.0,0.0,0.0,0.0,2,65,1.8,143,15.5
2026-08-27T02:10:49+00:00,2026-08-27T11:00,진주시,35.2,128.125,30.2,78,37.2,0.0,0.0,0.0,0.0,1,36,2.3,162,23.8
2026-08-27T02:10:50+00:00,2026-08-27T11:00,대구광역시,35.85,128.625,28.7,81,35.2,0.0,0.0,0.0,0.0,2,76,2.6,124,12.6
2026-08-28T21:13:17+00:00,2026-08-29T06:00,진주시,35.2,128.125,25.1,97,30.7,0.0,0.0,0.0,0.0,1,30,6.7,196,19.4
2026-08-28T21:13:18+00:00,2026-08-29T06:00,대구광역시,35.85,128.625,23.7,99,29.0,0.0,0.0,0.0,0.0,1,42,3.2,360,12.6
2026-08-28T23:06:46+00:00,2026-08-29T08:00,진주시,35.2,128.125,26.7,95,32.8,0.0,0.0,0.0,0.0,1,35,8.3,214,17.6
2026-08-28T23:06:46+00:00,2026-08-29T08:00,대구광역시,35.85,128.625,24.9,97,31.0,0.0,0.0,0.0,0.0,1,45,1.8,323,20.5
2026-08-29T00:06:41+00:00,2026-08-29T09:00,진주시,35.2,128.125,28.5,86,34.5,0.0,0.0,0.0,0.0,0,19,9.9,224,21.2
2026-08-29T00:06:42+00:00,2026-08-29T09:00,대구광역시,35.85,128.625,26.7,90,33.1,0.0,0.0,0.0,0.0,1,43,1.8,307,27.7
2026-08-29T01:06:40+00:00,2026-08-29T10:00,진주시,35.2,128.125,29.7,81,35.6,0.0,0.0,0.0,0.0,1,37,10.7,228,30.2
2026-08-29T01:06:41+00:00,2026-08-29T10:00,대구광역시,35.85,128.625,28.7,79,34.6,0.0,0.0,0.0,0.0,1,34,4.4,279,30.6
2026-08-29T02:06:54+00:00,2026-08-29T11:00,진주시,35.2,128.125,30.3,78,36.1,0.0,0.0,0.0,0.0,2,64,11.6,216,34.2
2026-08-29T02:06:54+00:00,2026-08-29T11:00,대구광역시,35.85,128.625,30.0,74,35.7,0.0,0.0,0.0,0.0,1,35,6.5,264,31.3
2026-08-29T03:06:58+00:00,2026-08-29T12:00,진주시,35.2,128.125,30.8,77,36.5,0.0,0.0,0.0,0.0,1,40,13.1,212,36.4
2026-08-29T03:06:59+00:00,2026-08-29T12:00,대구광역시,35.85,128.625,30.3,72,35.9,0.0,0.0,0.0,0.0,1,46,6.6,261,29.9
2026-08-29T04:06:55+00:00,2026-08-29T13:00,진주시,35.2,128.125,31.2,76,36.9,0.0,0.0,0.0,0.0,1,21,14.8,209,41.0
2026-08-29T04:06:56+00:00,2026-08-29T13:00,대구광역시,35.85,128.625,30.7,71,36.4,0.0,0.0,0.0,0.0,1,49,6.6,257,28.1
2026-08-29T05:06:55+00:00,2026-08-29T14:00,진주시,35.2,128.125,31.6,75,37.2,0.0,0.0,0.0,0.0,1,27,16.7,217,43.6
2026-08-29T05:06:56+00:00,2026-08-29T14:00,대구광역시,35.85,128.625,28.8,86,35.8,0.1,0.1,0.0,0.0,51,40,3.8,311,23.4
2026-08-29T06:07:56+00:00,2026-08-29T15:00,진주시,35.2,128.125,30.7,78,36.2,0.1,0.1,0.0,0.0,51,32,14.6,220,43.2
2026-08-29T06:07:56+00:00,2026-08-29T15:00,대구광역시,35.85,128.625,29.3,83,36.2,0.0,0.0,0.0,0.0,2,70,4.3,312,19.1
2026-08-29T07:06:44+00:00,2026-08-29T16:00,진주시,35.2,128.125,29.2,86,35.4,0.1,0.1,0.0,0.0,51,32,11.3,217,38.9
2026-08-29T07:06:44+00:00,2026-08-29T16:00,대구광역시,35.85,128.625,27.2,95,34.5,0.7,0.7,0.0,0.0,63,77,2.8,320,20.9
